link_id,link_name,category
8011,Madison Avenue - Northbound - 34th St to 42nd St,Madison Ave
11012,Madison Avenue - Northbound - 42nd St to 49th St,Madison Ave
12013,Madison Avenue - Northbound - 49th St to 57th St,Madison Ave
162179,Main St - Northbound - Horace Harding Expwy to Peck Ave,Flushing
179159,Main St  - Northbound - Peck Ave to Sanford Ave,Flushing
157158,Main St - Northbound - Roosevelt Ave to Northern Blvd,Flushing
159157,Main St - Northbound - Sanford Ave to Roosevelt Ave,Flushing
157160,Main St @ Roosevelt to Kissena Blvd @ Sanford Ave,Flushing
158157,Main St - Southbound - Northern Blvd to Roosevelt Ave,Flushing
179162,Main St - Southbound - Peck Ave to Horace Harding Expwy,Flushing
157159,Main St - Southbound - Roosevelt Ave to Sanford Ave,Flushing
159179,Main St - Southbound - Sanford Ave to Peck Ave,Flushing
4616255,MDE N RFK Bridge - 142nd St,Major Deegan Expwy
4575278,MDE N Van Cortland Park - I-87 NYST N Exit 1 (Hall Place),Major Deegan Expwy
4620330,MDE S HARLEM RIVER PARK - GWB W AMSTERDAM AVENUE LOWER LEVEL,Major Deegan Expwy
4620314,MDE S HARLEM RIVER PARK - GWB W AMSTERDAM AVENUE UPPER LEVEL,Major Deegan Expwy
4456477,MDE S TBB EXIT RAMP - QUEENS ANCHORAGE,Major Deegan Expwy
4329499,MLK N Walker Street-NJ Route 169,MLK Expwy / Bayonne Br
4616210,MLK S-SIE W Walker Street-Richmond Avenue,MLK Expwy / Bayonne Br
4616196,MLK S Walker St - SIE E Woolley Ave,MLK Expwy / Bayonne Br
67068,Narrows Rd South - Eastbound - Hylan Blvd to Fingerboard Rd,Narrows Rd
4616282,NJ 169 S Bayonne Bri/NJ side - MLK S Walker Street,MLK Expwy / Bayonne Br
4616281,NJ 440 N Francis St - WSE N Tyrellan Ave,West Shore Expwy
158165,Northern Blvd - Eastbound - Main St to Union St,Flushing
185158,Northern Blvd - Eastbound - Northern Blvd Br to Main St,Flushing
165164,Northern Blvd - Eastbound - Union St to Parsons Blvd,Flushing
158185,Northern Blvd - Westbound - Main St to Northern Blvd Br,Flushing
164165,Northern Blvd - Westbound - Parsons Blvd to Union St,Flushing
165158,Northern Blvd - Westbound - Union St to Main St,Flushing
115114,Ocean Pkwy and Sea Breeze Ave to Surf Ave and Stillwell Ave - Westbound,Ocean Pkwy
113111,Ocean Pkwy - Northbound - Avenue I to Ditmas Ave,Ocean Pkwy
94093,Ocean Pkwy - Northbound - Avenue U to Kings Hwy,Ocean Pkwy
98094,Ocean Pkwy - Northbound - Avenue X to Avenue U,Ocean Pkwy
111112,Ocean Pkwy - Northbound - Ditmas Ave to Church Ave,Ocean Pkwy
93113,Ocean Pkwy - Northbound - Kings Hwy to Avenue I,Ocean Pkwy
115100,Ocean Pkwy - Northbound - Sea Breeze Ave to Shore Pkwy,Ocean Pkwy
100098,Ocean Pkwy - Northbound - Shore Pkwy to Avenue X,Ocean Pkwy
113093,Ocean Pkwy - Southbound - Avenue I to Kings Hwy,Ocean Pkwy
94098,Ocean Pkwy - Southbound - Avenue U to Avenue X,Ocean Pkwy
98100,Ocean Pkwy - Southbound - Avenue X to Shore Pkwy,Ocean Pkwy
112111,Ocean Pkwy - Southbound - Church Ave to Ditmas Ave,Ocean Pkwy
111113,Ocean Pkwy - Southbound - Ditmas Ave to Avenue I,Ocean Pkwy
93094,Ocean Pkwy - Southbound - Kings Hwy to Avenue U,Ocean Pkwy
100115,Ocean Pkwy - Southbound - Shore Pkwy to Sea Breeze Ave,Ocean Pkwy
163164,Parsons Blvd - Northbound - Roosevelt Ave to Northern Blvd,Flushing
164163,Parsons Blvd - Southbound - Northern Blvd to Roosevel Ave,Flushing
4456511,QMT E Manhattan ORT - Queens Side,Queens-Midtown Tunnel
4456510,QMT W Queens Side - Manhattan ORT,Queens-Midtown Tunnel
4616225,RFK N Queens Anchorage - BE ramp N,Bruckner Expwy
4456452,RFK W Manhattan Side - FDR S 116th St,FDR Dr
146139,Richmond Ave - Northbound - Amboy Rd to Wainwright Ave,Richmond Ave
130129,Richmond Ave - Northbound - Forest Hill Rd to Richmond Hill Rd,Richmond Ave
121146,Richmond Ave - Northbound - Hylan Blvd to Amboy Rd,Richmond Ave
129131,Richmond Ave - Northbound - Richmond Hill Rd to Eton Pl,Richmond Ave
139130,Richmond Ave - Northbound - Wainwright Ave to Forest Hill Rd,Richmond Ave
146121,Richmond Ave - Southbound - Amboy Rd to Hylan Blvd,Richmond Ave
131129,Richmond Ave - Southbound - Eton Pl to Richmond Hill Rd,Richmond Ave
130139,Richmond Ave - Southbound - Forest Hill Rd to Weinwright Ave,Richmond Ave
129130,Richmond Ave - Southbound - Richmond Hill Rd to Forest Hill Rd,Richmond Ave
139146,Richmond Ave - Southbound - Wainwright Ave to Amboy Rd,Richmond Ave
148150,Rockaway Blvd - Northbound - Brookville Blvd to Farmers Blvd,Rockaway Blvd
150147,Rockaway Blvd - Northbound - Farmers Blvd to South Conduit Ave,Rockaway Blvd
151148,Rockaway Blvd - Northbound - Five-Towns Entrance to Brookville Blvd,Rockaway Blvd
148151,Rockaway Blvd - Southbound - Brookville Blvd to Five-Towns Entrace,Rockaway Blvd
150148,Rockaway Blvd - Southbound - Farmers Blvd to Brookville Blvd,Rockaway Blvd
147150,Rockaway Blvd - Southbound - South Conduit Ave to Farmers Blvd,Rockaway Blvd
177157,Roosevelt Ave - Eastbound - College Pnt Blvd to Main St,Flushing
157163,Roosevelt Ave - Eastbound - Main St to Parsons Blvd,Flushing
157177,Roosevelt Ave - Westbound - Main St to College Pnt Blvd,Flushing
163157,Roosevelt Ave - Westbound - Parsons Blvd to Main St,Flushing
160159,Sanford Avenue - Westbound - Kissena Blvd to Main St,Flushing
159176,Sanford Ave - Westbound - Main St to College Pnt Blvd,Flushing
180155,Seagirt Blvd - Eastbound - Beach 32nd St to Beach 9th St,Seagirt Blvd
155180,Seagirt Blvd - Westbound - Beach 9th St to Beach 32nd St,Seagirt Blvd
4616193,SIE E Bradley Ave - Clove Rd,Staten Island Expwy / Verazzano Br
4616192,SIE E Clove Rd - Fingerboard Rd,Staten Island Expwy / Verazzano Br
4763650,SIE E Fingerboard Rd - VNB E SI Gantry L/Lev,Staten Island Expwy / Verazzano Br
4763648,SIE E Fingerboard Rd - VNB E SI Gantry U/Lev,Staten Island Expwy / Verazzano Br
4616216,SIE E Richmond Ave - MLK N Walker St,MLK Expwy / Bayonne Br
4616195,SIE E Richmond Ave - Wooley Ave,Staten Island Expwy / Verazzano Br
4616197,SIE E South Ave - Richmond Ave,Staten Island Expwy / Verazzano Br
4616194,SIE E Wooley Ave - Bradley Ave,Staten Island Expwy / Verazzano Br
4616208,SIE W Bradley Ave - Wooley Ave,Staten Island Expwy / Verazzano Br
4616206,SIE W Fingerboard Rd - Clove Rd,Staten Island Expwy / Verazzano Br
4616211,SIE W Richmond Ave - South Ave,Staten Island Expwy / Verazzano Br
4329480,SIE W SOUTH AVENUE - 278 W BRUNSWICK AVENUE,Staten Island Expwy / Verazzano Br
4616199,SIE W South Ave - WSE S South Ave,Staten Island Expwy / Verazzano Br
4616217,SIE W Wooley Ave - MLK N Walker Street,MLK Expwy / Bayonne Br
4616209,SIE W Wooley Ave - Richmond Ave,Staten Island Expwy / Verazzano Br
114137,Stillwell Ave - Northbound - Surf Ave to Neptune Ave,Stillwell Ave
