"link_name","data_as_of","status","speed","travel_time"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T08:14:03.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T08:14:03.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T08:09:03.000","0","27.34","352"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T08:09:03.000","0","27.34","260"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T08:09:03.000","0","26.71","569"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T08:09:03.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T08:09:03.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T08:09:03.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T08:04:03.000","0","27.96","340"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T08:04:03.000","0","27.34","263"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T08:04:03.000","0","26.09","582"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T08:04:03.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T08:04:03.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T08:04:03.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T07:59:03.000","0","28.58","332"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T07:59:03.000","0","27.34","264"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T07:59:03.000","0","26.71","578"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T07:59:03.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T07:59:03.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T07:59:03.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T07:54:04.000","0","26.09","364"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T07:54:04.000","0","24.85","287"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T07:54:04.000","0","27.34","558"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T07:54:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T07:54:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T07:54:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T07:49:03.000","0","28.58","336"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T07:49:03.000","0","27.34","260"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T07:49:03.000","0","28.58","534"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T07:49:03.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T07:49:03.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T07:49:03.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T07:44:04.000","0","28.58","335"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T07:44:04.000","0","29.20","247"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T07:44:04.000","0","30.44","506"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T07:44:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T07:44:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T07:44:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T07:39:03.000","0","28.58","336"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T07:39:03.000","0","29.20","245"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T07:39:03.000","0","33.55","455"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T07:39:03.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T07:39:03.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T07:39:03.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T07:34:03.000","0","31.06","306"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T07:34:03.000","0","28.58","250"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T07:34:03.000","0","39.14","393"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T07:34:03.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T07:34:03.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T07:34:03.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T07:29:04.000","0","28.58","332"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T07:29:04.000","0","26.71","265"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T07:29:04.000","0","42.87","360"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T07:29:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T07:29:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T07:29:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T07:24:03.000","0","24.23","391"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T07:24:03.000","0","27.34","263"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T07:24:03.000","0","43.49","355"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T07:24:03.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T07:24:03.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T07:24:03.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T07:19:03.000","0","24.23","391"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T07:19:03.000","0","29.82","241"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T07:19:03.000","0","48.46","319"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T07:19:03.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T07:19:03.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T07:19:03.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T07:14:04.000","0","33.55","283"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T07:14:04.000","0","29.20","243"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T07:14:04.000","0","41.01","375"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T07:14:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T07:14:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T07:14:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T07:09:03.000","0","31.06","310"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T07:09:03.000","0","28.58","253"
